clean_review,verified_purchase_encoded,review_length_bin,sentiment
replaces original kindle fire new one much sharper faster many features old one still trying figure things much pretty intuitive love,0,Medium,1
quick beautiful display small device,0,Short,1
kindle replacing original kindle fire like version changes dont like one thing original fire charging could tell fully charged seeing light go green new version light need continue check also kindle sleep mode advertisements rolling across screen im fan watching video wow difference original makes imperfections meaningless sound color graphics great negatives like new edition wished would gotten larger screen next purchase larger screen call amazon support original problems tech helpful positive one reason continue buy amazon products stars support,1,Long,1
great perfect size two year old,0,Short,1
easy fun use,1,Short,1
great value quality tech,0,Short,1
love fire hd expected,1,Short,1
nice product easy use,1,Short,1
nice wrong one,0,Short,1
think would good sound wise much fun product,0,Short,1
love kindle fire second one bought replace old nook much reliable tablet price thing dislike silk browser,0,Short,1
like new one getting use,1,Short,1
came expected great upgrade kindle like much took little time get started directions clear easy,1,Short,1
took weeks receive worth wait,0,Short,1
exceeds expectation,1,Short,1
kids love pink,0,Short,1
considering bought dollars rate perfect size sound quality great leave pandora need around house pretty much quit using phone text home feel typing much betterperfect size say one negative thing tablet would would liked hdmi port thought upon purchasing big deal though recommend product buy another one even full price would,0,Long,1
love take every,1,Short,1
great reader streamed movies little slow wifi bandwidth caused lot buffering overall great traveling companion,1,Short,1
battery life less stated bit disappointing like original kindle much better,0,Short,0
tablet great book nerds like image clear tablet fast great camera features little disappointed app store doesnt carry lot common apps instagram wish google play store matched google account certain apps social media important definitely great tablet,1,Medium,0
cons battery seemed drain quickly took load website open app ghz wifi support touch screen responsive devices owned pros good wanted use ereader nice screen sturdy construction,0,Medium,0
easy handle lightweight loaded options best yet,1,Short,1
love great device great clarity movies books awesome,0,Short,1
love step,1,Short,1
kindle fire hd excellent product thrilled abilities fire hd run books games internet access name features ereader size right comfort using makes great travel accessory whether vacation doctors office would happily recommend friend,1,Medium,1
everything went ass planned,1,Short,1
may something new kindle thought words wfriends games would transfer doesnt appear thats case entering password e mail returns correct password help give would greatly appreciated love size happy cover,0,Medium,1
much different fire need learn navigate differently like clearer sharper picture hoping would lighter two love,0,Short,1
love third kindle keep getting better,1,Short,1
happy new kindle works,1,Short,1
keeps kids entertained easy operate,0,Short,1
first mobile device really enjoy using fairly easy operate still learning,0,Short,1
far great,1,Short,1
really handing still getting use size larger phone yet smaller laptop pc,0,Short,1
love far,1,Short,1
happy kindle fire easy set great purchase,0,Short,1
third kindle love great color easy use easy handle,1,Short,1
love new kindle fire daughter one travels rather carrying laptop plan happy,0,Short,1
first timer one relatively easy figure good price,1,Short,1
great product,0,Short,1
im really enjoying sleek design kindle hd wish could use google hangouts,1,Short,1
ive always wanted new tablet fit bill perfectly large nice resolution wonderful sound apps phone lot better,1,Short,1
pleased kindle exactly need carry wherever go thanks great deal,1,Short,1
battery life sucker worst im lucky get two hours run time faster old tablet battery life seriously restrictive shoulda bought ipad,0,Medium,0
used fullest met expectations,1,Short,1
problems profilemain account setup daughters profile appears trouble switching mine screen also displaying correctly ended deleting profile recreating far seems okay dont want jinx,0,Medium,1
far actual product love perfect far unable keep devices one account share prime membership separate cloud storage stinks kindle fire hds fire phone devices one account apps show devices well photos aware fact buying one,0,Medium,0
like much,1,Short,1
basically using kindle reader features like reader able read bed without lights use black backround easier eyes,0,Short,1
learning use love far first time ive ever touch screen anything fun challenging,0,Short,1
nearly easy use reader nook arent many options set page color brightness either give book options purchase cheaper like would happier another nook,1,Medium,0
quite happy fire hd since didnt use days asking pin unlock use recollection pin first place tried multiple times get assistance wwwamazon comdevicesupport get message page unavailable,1,Medium,0
good highly readable tablet lot great options readers bought device however way many ads including explicit content battery life terrible charger inefficient,1,Medium,0
arrived quickly ok packaging great product,1,Short,1
daughter loves shes happy im happy,0,Short,1
nice product much faster first kindle great price,0,Short,1
happy purchase resolution screen makes everything crystal clear vibrant,1,Short,1
second kindle fire first generation years still defective charging port replaced one certainly steps faster dont problems accessing internet sites like old one google drive say fan kindle fires one nice,1,Medium,1
purchased kindle fire hd prize recruiting contest church youth group young lady ecstatic youd thought gave million dollars beforehand loaded full preteenfriendly apps books downloading simple quick kindle great speed super clear screen comes packaged nice secure im looking forward eventually getting one,1,Medium,1
product much realized wow love got reading everything,1,Short,1
kindle actually performs better kindles six wish bigger like hd hdx,1,Short,1
love kindle firebut cant find case sure fitwith onoff volume button visible right placesupdated kindle fireh even good features,1,Short,1
great value use amazon services use email apps bad great,0,Short,1
great kindle reading viewing videos,1,Short,1
cons amazon app store leaves lot desired compared big three windows android apple keep finding hitting home button typing pretty annoying inability change background photo choosing pros amazon prime tablet works pretty good instant video services get amazon prime keyboard fluid doesnt seem lag battery life good,0,Medium,0
still sure kindle im big kindle userthis th one problems initially havent much time see iron dont like advertisements overlook,0,Short,0
still learning far love,0,Short,1
looks works well,0,Short,1
much like original issue battery life original battery would last easily days light email research suppose enhanced screen speed suffers longevity still find kindle best tablet far mean also k kindle nexus kindle hd fire top list would buy recommend,0,Medium,1
worked fine,1,Short,1
wanted one awhile glad found special price,0,Short,1
couldnt better,0,Short,1
like kindle periodically freezes reboot get work read similar posts wonder amazon hasnt fixed bug yet seems figured,0,Short,0
exceeded expectationsthis better kindle hd purchased year ago,1,Short,1
love great reading,0,Short,1
disappointed purchase love amazon love kindle fourth kindle purchase purchased july prime day deal looked great already hd previous generation wanted get one husband delays shipping compensationcredit arrived noticed much lighter previous one good way seemed like much cheaper version old one also able download apps installed kindle emailed customer service told model kindle fire could download apps already returned latest kindle purchase disappointing,0,Long,0
love far,0,Short,1
weve kindle months daughter still loves much day bought replace old one slim lightweight front rear facing cameras definite improvement old fire although rarely reads uses daily pretty much like would phone one uses various apps watches movies shows skypes friends im glad chose stick kindle instead switching another brand,1,Medium,1
shuts constantly happy never buy another one recommend kindle anyone,0,Short,0
works well downloading prime movies locally reason would recommend otherwise nice interface ipad,0,Short,0
love even thought would still learning apps isnt difficult also loved price since got amazon prime day,0,Short,1
got yr old son promise straight grades loves plays games reads books two favorite things,0,Short,1
ordered flash sale mom mom loves laptop uses elderly trouble operating kindel,1,Short,1
got great price works better ipad mini constant connectivity problems,1,Short,1
bought wife avid reader loves,1,Short,1
plain works,1,Short,1
arrived way earlier expected clear image tons space quick respond learn features upgrades older kindle nice size nice images slick looking device nothing complain,0,Medium,1
good overall good price,0,Short,1
problems adjusting font screen color still working problem,1,Short,1
eight year old daughter loves item perfect hoping grow least end middle school,1,Short,1
ive used fire hd good performance screen brighter coloraccurate seeing repeat incident embedded specks surface screen fire tablets makes wonder gotten screen protector may property screen ive conducted stress tests seems case still older models exhibit condition also found dead pixel,0,Medium,0
works great yr old loves,1,Short,1
connect wifis otherwise great,1,Short,1
love waited weeks get thought bit long,1,Short,1
works great easy download purchases issue charger matter usually takes like minute plug charger kindle even husband kids try experience thing,1,Medium,1
suppose price get pay internet slow always bunch ads everything even keyboard search features user friendly think would give kid instead ipad price get new ipad bummed lack amazon quality,0,Medium,0
using fire wanted little larger screen pleased kindle fire,0,Short,1
wonderful nn,1,Short,1
nice easy use good graphics audio,1,Short,1
item delivered time adequate packaging using week complaints far,0,Short,1
love far,1,Short,1
nice tablet price,0,Short,1
like actual amazon fire didnt like getting weeks ordered also online chat talk customer service even get started could connect wifi several conversations determined problem kindle wrong time date changed able connect frustrating kindle seems user friendly like touch screen much better keyboard old one,1,Medium,1
like fire,0,Short,1
days far met expectations pleased,1,Short,1
never inundated ads every direction would angry hadnt free work feel bad anyone paid,1,Short,0
great device games light web surfing emailing etc little heavy ereader though device protector installed little difficult swipe close book go back home screen screen bright easy see gb memory keeps zipping along fairly quickly,1,Medium,1
expected lot even able print something like size light weight,0,Short,1
would like lock screen images like kindle fire things like kindles,0,Short,1
cant find downside product love use daily,1,Short,1
love kindle fire small tablet ive owned ive heard headaches daughters galaxy caused ive rarely issue minor ones ive generally easy resolve,1,Medium,1
ordered prime day good deal happy fire phone excited used one time worked pretty good although little difficult tell apps closing device fully charged used second time less three hours usage logged onto internet device froze stayed way least hours matter many times tried could turn get kind reaction eventually screen went blank turn back returning serious doubts reliability fire phone would hate freeze really need hd comes pretty black orange box like phone unlike phone shipped flimsy tight plastic bag bubble protection similar way bank ships box checks let dont buy one,0,Long,0
part problem didnt homework got windows phone really like miss apps android iphone looking kindle white save fire sale thinking would solve apps problem give apps get windows phone found download apps amazon store google store apps install windows phone able install amazon music kindle device im happy android device im,0,Long,0
love kindle everything need works like need husbands tablet died gave mine ordered kindle happy purchase,0,Short,1
still much help dry eye,1,Short,1
lot lighter first kindle definitely capabilities love color cobalt blue hd pictures skype,0,Short,1
like tablet awesome,1,Short,1
love cannot put best purchase ever made,1,Short,1
love made grandsons happy,1,Short,1
perfect college school,1,Short,1
well worth price purchased fire hd acclimate tech devices affordable option purchasing similar competing brands hundreds dollars concern fire hd kindle purchases linked fire one book purchase made fire link kindle,1,Medium,1
price bad soc pretty slow ran tales borderlands choppy times making quick time events difficult sometimes,0,Short,1
thank much received said item excellent condition,1,Short,1
best tablet amazon amazing,1,Short,1
constantly freezes reboot,0,Short,0
first experience tablet pleasantly surprised lot faster expected battery life excellent,0,Short,1
excellent quality like,0,Short,1
great little tablet unfortunately tied amazon app store small fraction apps compared google play store advice buy cheap android tablet install apps want instead,0,Medium,0
loved first generation kindle fire bought one first one stopped charging unaware ads come device like paying extra later point removed would preferred option initial purchase overall generation kindle okay wish old one still worked though adored one isnt living others standards yet ill keep using update feelings change later point,0,Long,0
love much faster phone much easier read done,0,Short,1
ordered prime day delivered week later live seattle graphics good heavier expected disappointed apps available app store great mobile interface certainly better price ipad reading books apple still seems best selection integration apps,0,Medium,0
device allows leave laptop home travel saving space added weight carryon bag like way allows link various account stay connected im away home also love color,0,Medium,1
big improvement earlier version lighter faster battery life ok still hate carousel feature least app favorites stay instead lucked bought price definitely worth,0,Medium,1
new th gen amazing things dont care fir back light bright time small improvements great use kindles one gas recharge read one listen eyes bothered screen gives intense eye pain love text speech listen buy great books want read continue enjoy new fire hd thanks amazon,1,Medium,1
wish old malfunctioning kindle back one worst upgrades ever get use internet whopping ten minutes get message internet isnt working website reset factory settings twicesame thing ten minutes internet use shut restart sent first one back replaced new one thing new router new modem new wifi printerthis thing cant find long total junk dont waste time money,1,Long,0
love everything except color although bad color favorite rest great,1,Short,1
intermittently turns without warning return,1,Short,0
kindle fire everything hoped,0,Short,1
awesome love,0,Short,1
disappointed battery life compared older kindle firein standby mode drains quickly,0,Short,0
wantedworks fine,0,Short,1
really good,1,Short,1
son loves itbought son still ohing aahing,0,Short,1
awesome productjust took get,1,Short,1
perfect children love parental control,1,Short,1
love got great price,0,Short,1
bad little device like parental controls child fairly easy set use battery life great,0,Short,1
impressedliked old kindle bettergets hung freezes times,0,Short,0
perks didnt expect gift son loves,1,Short,1
son loves finally leaves mine alone,0,Short,1
best thing since sliced bread,0,Short,1
liked allot first months stopped working big problem since careful dont money drop one every year dont tablet getting one amazon time comes,1,Medium,0
love kindle fire bought one relative needed something get facebook read much great product would recommend anyone everyone,1,Short,1
lose place cant retrieve,1,Short,1
ive fire hd months recently started lock would close app able open anything else scroll list apps clicking nothing restart fixes everyday point lock really frustrating also disappointed theres youtube app original fire well one issues thought id give newer version try looks like issues think im done fire,1,Medium,0
love fire one first generation kindles wifi awesome,0,Short,1
works well havent issues wish could change wallpaper,1,Short,1
pros nice looking screen long battery life cons riddled ads seems showing ads way important letting get apps actually enjoying tablet buggy least day locks restart probably built ads processing power consume google play store get amazon wants buy allowing access google play takes away many useful apps kindle could used final opinion returning getting adfree google play enabled device,0,Long,0
far tablet preforms anticipated,1,Short,1
battery life small great price,1,Short,0
like like,1,Short,1
definitely kid approved havent even able play new toy yet,1,Short,1
like set like fire stick tv im already familiar,0,Short,1
great far,0,Short,1
wife loves reached original fire,0,Short,1
love new kindle fire,1,Short,1
good quality shipped time,1,Short,1
happy new fire hd third device tablet series hooked cant without ease use excellent customer service matchless thank amazon reliable awesome product,0,Medium,1
love hope charging port lasts model break easily ports models kindle,0,Short,1
issues everything great,1,Short,1
great device user friendly tons power features would definitely recommend,0,Short,1
good tablet wish apps available download tablets,1,Short,1
meets needs,0,Short,1
satisfied way fire works,1,Short,1
excellent kindle ebook reader book ordering application poor things expect buy device shows advertisements log browser hard use onscreen keyboard varies tremendously applications configuration settings undocumented device use google troubleshoot issues amazon site annoyed go laptop effectively manage content device accessories case shuts device close cover included instead separate purchase cannot run office despite android based,1,Long,0
need help setting stuff fire hd useless setting dont want view stupid movie video want set kindle legally blind read books,1,Medium,1
like amazon like amazon prime loved first kindle ereader really love second kindle ereader absolutely positively hate kindle fire thank god bought sale paid price would even angrier ha problems since day one bought thing use audible love kindle fire decided stop downloading books phone help desk hour technician tried figure problem music player literal piece freezes wont play stops playing suddenly wont let change songs thought everything like amazon service original kindle fire would good investment wrong,1,Long,0
dont like cord,1,Short,1
amazon fire hd pros clear picture good storage capacity cons little heavy pretty much apps amazon store user friendly device,0,Short,0
android google device lacking access google play store unaware time purchase consider device defective reason,0,Short,0
love kindle fire hd son purchased kindle fire years ago pleased someone stole one right absolutely amazing especially love camera still learning one loving glad caught prime day keep great work amazon,0,Medium,1
great although could without camera terrible could used space something else perhaps great product,0,Short,1
east use looks great thanks,1,Short,1
wanting one awhile purchased amazons black friday awesome deal kindle works greatabove expectations,0,Short,1
great current technology learning go,1,Short,0
heads maybe help someone else problems new kindle fire original problems kindle still works turns reason apps working kindle hd needed run kindle update immediately box guess might need maybe smarter right away call kindle support system update solved problems tech figured instance netflix working update,0,Medium,1
regular kindle received gift liked possibility much reading material accessible bought kindle fire love able read anywhere internet access music games much,1,Medium,1
expected hoped happy,1,Short,1
stars iwent st gen kindle fire considering new quite lock ups slow downs trying start program load something first gen kindle bit towards end life new another kindle every thing old one extras almost never use sum expect shouldnt get slow freeze new loses one half stars,0,Medium,1
love nice something larger phone smaller laptops,0,Short,1
gift husband loves,0,Short,1
loving fire hd runs much faster older one loving camera takes great pics also love magenta color sooo pretty,0,Short,1
even better design old one love,1,Short,1
way exceeded expectations great kendel book reader great tablet like apps really like book reader also kendel like fire better,0,Short,1
price easy portability cant beat satisfied ease programming usewould recommend anyone interested device type,1,Short,1
glare using outside,0,Short,1
happy product earlier fire couldnt resist price,0,Short,1
rather disappointed takes long time charge hold charge long,1,Short,0
third kindle say disappointed scene blacks freezes love reading loved kindle upset one like last two,1,Short,0
best ever best apple windows anything looking tablet stop right buy kindle need look else,0,Short,1
love fire awesome upgrade original kindle keyboard works better column controls side kindle lots battery life,0,Short,1
love far learning ends outs using,1,Short,1
kindle keyboard years loved except needing separate light black whitethen gifted new firedont need light pictures color movies musicfabulous new crossley id guide study plane trusty kaufman field guide backpackevery ounce counts packing kindle fire rocks thing kindle keyboard better battery life also one trick pony really fair comparison,1,Medium,1
love read whether actual book new kindle fire kindle fire gives another source reading love ability able multiple books disposal one time also access books purchased phone well awesome,1,Medium,1
use acer inconia two years doesnt work ok tablet kindle fire hd excellent thought wouldnt like size tablet came acer quickly adapted fire picture quality beyond amazing also amazing sound quality perfect acer get bluetooth speaker sister samsung galaxy tab sound quality low also needs additional speaker kindle fire hd complete mainly use watching movies add facebook twitter etc would recommend getting case protect certainly high quality piece electronics,1,Long,1
love fire hd expect needed additional ereader fire like tablet would buy,0,Short,1
supposed would definitely recommend,1,Short,1
like button good thing nails,1,Short,1
buy want use reading good tablet surfing internet device frustrating crashes time totalling useless buy basic kindle e reader instead,0,Short,0
dont see kindle fire cant noglare screen ability read outside like read yard dog park etc really difficult even worse im wearing sunglasses page numbers books either also freezes doesnt open present page im kind disappointed newer model,1,Medium,0
works perfect needs,1,Short,1
still evaluating unit far good time tell,0,Short,1
holy cow ads every product sun available kindle vitamins software books insurance semen storage tanks ive seen ad everything past hours ive owned thing,1,Medium,0
seems hang turn restart like lot,1,Short,1
perfect six year love could set parental controls specially daughter purchased two movies blocked extra needing access six years old lol thank amazon thinking every parent,0,Medium,1
great product price im happy thing little disappointed fact watching movies amazon prime mirror option love,0,Short,1
havent mine even week yet fari think great,0,Short,1
love screen crystal clear easy set lots apps happy purchase,0,Short,1
great nice clear screen loads fast,1,Short,1
way beyind expectations especially cost love amazed functionality even listened music preparing dinner watched tv series bed thank amazon,1,Short,1
found navigating previous kindle fire much easier finding new kindle fire hd dont like seeing ads turn also like swipe finger across screen older kindle turn easier tap navigate hit home new kindle fire hd nice guess use kindle fire bought amazon prime day recently good reduction price able upgrade newer version otherwise would bothered purchased,0,Long,1
love new kindle fire hd older kindle fire camera awful could adjust rear face front face difficult get pictures plus amazed clarity new kindles screenhd definitely makes difference ive using less week love,1,Medium,1
fire love,0,Short,1
best bang buck also great parental controls,0,Short,1
easier completely exit apps one time able swipe carousel also need fix twitter app top tweet feed always half screen,0,Short,0
didnt think needed tablet old kindle diedi decided go great choice,0,Short,1
may look like android tablet part behaves like one apps available amazon app store pretty much available google play store first look least since got way good parts device designed integration amazon shopping music movies well done device sound phenomenal small speakers video quality beautiful battery life watched episodes firefly used battery apparently may download videos offline viewing havent tried yet,0,Long,1
grandchildren already got fire xmas impressed performance determined get one well able pick incredible price amazon day ive happy ever since fantastic movie viewing thanks amazon,0,Medium,1
ok techy kids much better tablets price range biggest problem lack memory available gb like get gb interface poor modern standards would recommend people stream amazon services heavy also compared size within days delete stuff daughters allow internet connection,0,Medium,0
really dislike sign every time dont know necessary especially since never since got second kindle confused books ordered new ones others showed much read piled together showing amount read suddenly lost interest games also reading main idea wanted kindle get back reading books enjoyable hope get feeling back,1,Medium,0
great expected,0,Short,1
great everything need school,1,Short,1
yep love fire use time best,1,Short,1
wish gotten samsung tablet time silk browser downloading times ridiculously slow,1,Short,0
happy product convenient easy use,1,Short,1
really think booklet enclosed explaining functions kindle senior citizen believe important maufacturers understand everyone familiar computer language instructions plain english sure device works fineif could understand,1,Medium,0
amazon app store lacking returned product,1,Short,0
good product,1,Short,1
love new kindle fire hd first fire like really slow hard type one handles typing much better organizes everything nicely issue battery doesnt really last much big fan,1,Medium,1
joythis little compact computer real joy thanks amazon,1,Short,1
really love kindle easy use much reading books,1,Short,1
great product love,1,Short,1
love new fire quick set easy use info easily transferred first gen one thanks,0,Short,1
smaller kindle nice easy pack work little frustrating using video want go next video takes several times touching screen finger page moves using instant video prime letting start stopped manually find next episode mini series season doesnt show email buttons well appear bottom screen im keeping like im using buy another largest kindle fire love stays home family,1,Long,0
ordered kindle hd hate freezes constantly power back get book anything today downloaded new book download book open dont see anyone likes thing im sticking ipad,0,Medium,0
love never thought would actually like reading one love able hold book hands turn actual page however pretty great,0,Short,1
easiest tablet ever used,1,Short,1
employers bought kindle fire hd two weeks ago hoping get one front rear camera instead got frontwhat really love im grateful sorted outplease contact via email,0,Medium,1
purchased wife replace st generation kindle fire loves extra speed reliability,0,Short,1
bought great price nice tablet price paid,0,Short,1
love love love screen seems much brighter kindle many options lot faster,1,Short,1
got mom hp tablet fire hd stock needed time birthday july st day fire hd tablet bit special ordered fire arrived yesterday little trouble getting right amazon account mine sons account fire ball well grandma got together respective fire hp tablets decided heavier bigger hp better son fire hd tablet better grandma arthritic thumbs lighter slimmer easier maneuver switching sunday dinner weekend kudos great fire grandma great hp grandson son,0,Long,1
luved everything expected,1,Short,1
happy older kindle fire connection inside made charging difficult still great features,1,Short,1
learning offer far great,1,Short,1
pleased purchase,0,Short,1
pretty much like one except hd camera new great buy wish button lit charging like old one though,0,Short,1
absolutely love,1,Short,1
good tablet times freezes ive already reset carousel disappeared could get appstore list apps etc open top menu,1,Short,1
perfect size travel tablet cant seem get sling tv app android download,1,Short,1
cannot fathom much,0,Short,1
fire hd easy use quality kindle products would recommend anyone looking ereader especially like ability move around fire complicated difficult fire enables read stay connect world,0,Medium,1
great machine original fire big difference picture speed,0,Short,1
like hd expect,1,Short,1
good value right size performs adequately things considered would purchased ipad mini apple pad worth extra cost,0,Short,1
much faster easier use ipad needless sayit cheaper,0,Short,1
compact easy use powerful holds charge well,1,Short,1
good product price range far need fixed iswhen videos played youtube rotate horizontal video jumps edgesi hate rest perfecthope get os update fix,0,Medium,1
much better last kindle,1,Short,1
love love love kindle fire much expected love camera crystal clear screen everything kindle fire last model first generation hd model came love kindle giving little grandchildren play games daughter read books cant rate new one high enough stars available would give love,0,Medium,1
kindle everything need front rear camera really nice check mail along many things dont take two items one reading books major reason kindle light weight last one gift couldnt received better birthday present,1,Medium,1
really excited get tablet first one didnt camera one freezes time havent downloaded anything havent seen anything posted would help either needless sayhavent used either camera im disappointed,0,Medium,0
hd display great device still working synching things nice product price,0,Short,1
gift husband im really enjoying,1,Short,1
would like buy extended warranty product please,0,Short,1
nice wish amazon account want linked tablet,0,Short,1
love fire year old loves fire mother loves fire brother loves fire wish bought brand first time around,1,Short,1
disappointed find could access google play store couldnt get nook app device like kindle app nook hoping able one device nook starting get bit slow fault enough research device works wellit doesnt allow convenience hoped would,0,Medium,0
think heads flash compatible order otherwise supposed,1,Short,0
great however arrive smudge cant cleaned back,1,Short,1
easy use fast shipping fast internetlove,0,Short,1
sale price ok tablet owner ipad also tell comparison spend extra money get ipad,0,Short,0
read magazines fire color great worth every dollar,1,Short,1
suddenly utterly completely died six months great guess think disposable product buy new one twice year would fine,1,Short,0
outstanding clarity graphics,1,Short,1
still learning curve using far set easy didnt give star rating irks download instructions etc instead including box,0,Short,1
soooo excited get tablet soo disappointed like new things wasnt completely charged first got n like ok drain n charge thinking around oclock n battery charged tablet charging use cable gave seriously freaking percent hrs charging unplugged n wanted see maybe battery didnt die fast yea right within mins charge dropped charge n wasnt anything heavy n screen lowest brightness think might return,0,Long,0
old fire going friend glad passed glad get seems definedand love color love keep stuff trips dont need laptop,1,Short,1
dandy ereader tablet capabilities well built already taken fall two good packaging giftee pleased,1,Short,1
tablet difficult use instructions included returning,1,Short,0
still new dont like lack apps im used iphone available amazon app store even simple apps like home depot lowes app store battery life seems good resolution excellent,0,Medium,0
great value compared luxury tablets love everything seeing im tech savvy could see might limiting ways others,1,Short,1
absolutely love love love tablet,1,Short,1
glass original kindle shattered sad heavy heart bought new kindle fire even better old one everything old kindle transferred new kindle happy thank,0,Medium,1
great travel needs,1,Short,1
love fits purse perfect would investigating would encourage everyone buy ipad iphone nes would easily give phone never ipad kindle fire love tablets,0,Medium,1
works perfectly exactly advertised,0,Short,1
great tablet functional,0,Short,1
like lot,0,Short,1
able use anything google play store annoying cant play music send via email tablet cant seem add music android devices omg cameras totally suck theres way thats hd quality pictures throw away cameras early take higher definition pictures wow thing major dissapointment oh shipping took weeks theres way add music amazon cloud stored another tablet example samsung galaxy note tablet alot wma music theres way send cloud id able listen fire tablet send music cloud cpu mac wouldnt ever buy amazon app store also sucks barely good apps,0,Long,0
love new kindle fire hd,0,Short,1
since feburary year doesnt connect internet,0,Short,1
nice size great picture pretty fast easy set use lots aps make pretty darn functional didnt give solely didnt meet expectations must admit benefit hindsight expectations high expecting full featured tablet reasonable happy hope use long time,1,Medium,1
ok works well prefer ipad cant beat price,1,Short,0
kindle arrived right time set black friday great,0,Short,1
still functional great graphics good chunk memory taken os ability create multiple profiles profile sucks lot memory,1,Short,0
nice great speed color wish larger screen people problems eyesight,1,Short,1
suits needs love size books great,1,Short,1
always great product rd one home right,0,Short,1
kindle works great reason rating description doesnt clearly say generation makes difficult select correct case,0,Short,1
ok larger one much easier read must gotten virus longer works,1,Short,0
excellent product works fast screen big,0,Short,1
love fire hd busy downloading books apps morethe camera seems like pretty good looking forward learning use everything,0,Short,1
excellent product capabilities imagined,0,Short,1
pay extra take annoying ads dont option change wallpaper costumize display someone told would bought piece sht bought tought getting good deal primeday fire phone love crap,0,Medium,0
good kindle son different tablets best one ever,1,Short,1
im enjoying gift learning use fire hd,1,Short,1
nice unit good disappointed wont work chrome cast,1,Short,1
bought present wife using cell phone try keep face book things looking new phoneslarger easier read worked perfect home using wifi plus likes better original kindle reading car ever,0,Medium,1
great picture tends freeze times apps wouldnt picked like wall street journal come pre loaded reason dont like commercial appears every time log,1,Medium,1
expected great product,0,Short,1
older model daughter essentially took ownership upgraded great value money thing disappoints older model hdmi output one,0,Short,1
good value money,1,Short,1
tablet consumer friendly capable connecting easily wifi additional internet options including amazon features kindle books movies music music great deal,0,Short,1
absolutely love,0,Short,1
take tablet everywhere go ty fire perfect,1,Short,1
upgraded kindle fire many features available havent even discovered yet favorite feature ability lock autorotate camera takes nice photos sound good quality havent problems yet,1,Medium,1
original purchase included defective charging cable went line amazoncom sent replacement good useful first kindle half size,1,Short,1
fire days scratched surface far good,0,Short,1
pleased get gift wanted lighted screen older model kindle keyboard liked fine like using flashlight read night charge old kindle lasted forever read lot new version barely lasts book half probably stuff still love reading light wonderful bright hurt eyes give old one though times charging available,1,Medium,1
like lot wish button used older kindleat bottom round also liked carousel display older one havent figured possible access things without unlock screen one,1,Medium,1
awesome great deal love,1,Short,1
second kindle first one plain jane love fire easy navigate plays music games books theres gotten yet highly satisfied used far,0,Medium,1
satisfied easy use,1,Short,1
love lot better old model,0,Short,1
kindle fire hd second first still top condition wanted second carry around case something happened first one thing noted micro hdmi port new replaced ability fling shows tv also kindle tv fire like micro hdmi port new one noticeably faster kindles speakers much better ipads bought quickly returned ordered cant go wrong,0,Long,1
far good happy camera function megapixel resolution makes crummy pictures aside pleased,1,Short,1
reading good problems getting wifi understanding programs,0,Short,0
kindles enjoyed really like fire enjoy give stars,0,Short,1
im still learning use love,1,Short,1
love everything new kindlei read night without lights favorite feature,1,Short,1
luv great reading portable,1,Short,1
love amazon kindle products battery one isnt standard ive experienced products friend similar experience battery lasting hours hate stars,0,Short,0
disappointed didnt enough research storage size works fine otherwise,0,Short,0
early generation kindle fire one definitely features starts much quicker gamen graphics appear bit different old kindle fire also far pleased purchase,0,Medium,1
well pleased kindle fire would recommend,1,Short,1
great product,0,Short,1
first tablet great month later nothing freeze got suckered buying antivirus app cache clearing app nope nothing changed still freezes slow pay extra money ipad pay u get,0,Medium,0
love disappointed anything,0,Short,1
like lot,1,Short,1
excellent item buy,1,Short,1
love thing could say make better coincided google play store amazon store growing,1,Short,1
experience tablets uses ipad moderately pleased fire hd image quality good size device perfect use mainly viewing videos flights document reading occasional shopping email processing bit slow choppy sometimes prime day rate hard pass,0,Medium,1
second kindle hardly ever open laptop anymore everything want kindle complaint new kindle charge cord short,0,Short,1
great tablet money use everyday battery life great wish iphone good battery,0,Short,1
really appreciated purchase worth,0,Short,1
fantastic came early,0,Short,1
much lighter previous fired hd screen clarity excellent favorite feature printing fire internet,1,Short,1
love kindle battery charge seems shorter recharge twice day turn kindle want get book reading otherwise great item,1,Short,1
experiences advertised,1,Short,1
love ease tablet hate loaded show ads every time open,0,Short,1
happy slow force stops every minutes many apps available needs colors clarity good suit needs whatsoever useless,0,Short,0
hubby loves kindle fire hd,0,Short,1
awesome little tablet basic internet needs love favorite amazon apps easily accessible facebook works great email access web browser movies music course books brightness adjustments really nice outdoors browsing late night connect easily open wifi public take almost everywhere definitely get protective case ive accidentally knocked onto floor times kid friendly mine ages use easily love multiuser capability parental controls doubt disappointed purchase,1,Long,1
wonderful prior kindle fire long warranty thanks,1,Short,0
week got stuck restart loop disappointed device amazon making right brand new fire,1,Short,0
micro hdmi port cannot find micro usb hdmi adapter cord work th generation amazon hd,1,Short,0
great little device love,0,Short,1
great watch movies get email surf web,1,Short,1
screen lock toddler kids returned mine,0,Short,0
easier learn expected wonderful unchanged computer,1,Short,1
ui terrible prevents even basic attempts customize resizing ridiculous oversized icons getting rid horrible looking carousel home screen get low cost supposed covered part adverts amazon really ham fisted isnt good reason complete lack customization home screen excepting android half dead frankenstein monster number apps may find useless come preloaded removed cutting gb significantly time get box also batter power doesnt last long claimed closer hours suppose decent enough tablet tech knowhow root strip os decent one,0,Long,0
wife got one recently brainer went sale fast convenient,0,Short,1
